3904,-8.98,-9.69,6.35,348.00,-30.31,42.06
3926,-12.92,-14.85,7.82,345.81,-31.69,40.63
3946,-13.99,-17.73,8.04,344.63,-31.87,40.63
3969,-13.29,-13.74,6.66,345.50,-30.87,41.88
3993,-11.19,-10.86,6.14,347.63,-29.25,43.56
4015,-9.59,-10.19,6.60,351.63,-26.50,46.31
4036,-9.55,-10.31,6.72,355.00,-24.19,48.69
4060,-9.16,-9.81,7.57,359.25,-21.19,51.56
4083,-7.85,-6.63,6.12,6.94,-15.13,55.56
4105,-5.02,-5.05,5.58,12.38,-10.75,58.06
4125,-3.92,-5.28,6.60,17.87,-6.31,60.38
4147,-3.01,-5.10,5.09,23.44,-1.75,62.50
4168,-1.75,-4.83,4.75,29.00,2.88,64.75
4193,0.04,-4.19,4.84,34.56,7.38,66.81
4214,2.16,-3.95,4.37,42.38,13.88,69.25
4236,3.79,-2.62,3.15,46.94,17.94,70.19
4256,5.23,-1.73,1.57,50.88,21.44,70.87
4279,5.63,-1.81,2.08,54.06,23.87,71.31
4299,6.64,-1.65,2.01,56.50,25.75,71.81
4325,6.41,-2.52,2.14,58.69,27.06,72.50
4346,6.89,-1.85,2.12,59.13,27.25,72.75
4368,7.27,-0.44,2.44,58.50,26.81,72.50
4390,7.83,0.63,-0.08,56.75,25.62,71.75
4412,6.21,-0.05,0.95,54.25,23.00,71.31
4434,3.71,-4.00,4.31,49.31,17.31,71.19
4456,2.10,-4.74,4.22,45.19,13.19,70.94
4476,0.72,-4.76,4.40,40.38,8.88,70.37
4498,-2.12,-7.58,0.88,35.19,4.13,70.06
4520,-3.65,-9.66,0.03,30.56,-0.63,70.44
4545,-4.86,-10.27,1.28,25.19,-7.31,72.00
4567,-3.33,-9.01,6.09,21.81,-11.06,72.94
4587,-2.94,-7.05,6.27,17.75,-14.25,72.81
4612,-3.65,-7.19,0.33,13.06,-17.44,71.12
4635,-5.91,-8.60,-0.85,7.44,-22.75,67.75
4657,-6.84,-9.24,9.12,4.63,-26.25,66.12
4677,-6.79,-6.37,7.96,1.44,-28.87,64.25
4699,-7.21,-7.07,5.07,357.63,-31.31,61.94
4721,-8.56,-8.27,4.24,354.00,-33.94,59.50
4745,-8.28,-7.11,6.47,349.25,-38.06,55.75
4766,-11.15,-8.68,5.32,346.00,-40.56,54.06
4788,-11.48,-11.17,4.42,342.88,-42.56,53.19
4809,-11.09,-9.55,3.92,340.88,-43.94,52.13
4834,-11.28,-8.22,2.87,339.63,-44.94,50.88
4854,-12.07,-9.18,2.44,338.44,-46.31,50.13
4880,-12.80,-10.55,3.94,338.25,-47.00,50.88
4901,-12.12,-9.49,4.73,338.88,-47.06,52.00
4925,-11.58,-8.40,4.61,340.81,-45.88,53.50
4947,-10.20,-6.79,4.27,342.56,-44.63,54.31
4975,-9.32,-6.73,4.35,345.38,-42.56,55.94
4997,-8.76,-6.52,4.29,347.44,-41.06,57.38
5018,-8.18,-6.10,4.36,349.69,-39.44,58.94
5041,-7.73,-6.14,4.33,351.88,-37.88,60.56
5062,-7.68,-6.79,3.96,354.19,-36.31,62.19
5086,-7.41,-7.91,4.25,357.81,-33.88,64.87
5107,-7.10,-7.72,4.40,0.50,-31.87,66.69
5129,-6.38,-7.64,4.15,3.25,-29.75,68.31
5152,-5.95,-8.15,4.22,6.06,-27.56,69.69
5176,-5.61,-8.61,4.57,10.63,-23.81,71.81
5197,-4.36,-7.49,3.80,14.06,-20.81,73.19
5222,-3.78,-6.70,2.60,17.69,-17.56,74.56
5245,-2.30,-6.30,2.79,23.06,-13.06,76.62
5268,-1.80,-7.47,2.61,26.37,-10.31,77.75
5288,-1.91,-8.53,2.72,29.81,-7.56,78.87
5310,-1.39,-8.41,2.59,33.31,-4.56,79.94
5334,-0.53,-8.07,2.06,36.88,-1.37,80.87
5355,0.27,-7.54,1.36,40.31,1.75,81.50
5378,0.46,-9.04,0.68,45.69,6.44,82.37
5398,0.36,-9.83,1.31,49.75,9.81,82.75
